seed,connection,weight,level,in_degree,out_degree,deg_c_a,deg_c_b,close_c_a,close_c_b,bet_c_a,bet_c_b,curr_flow_c_a,curr_flow_c_b,curr_flow_bet_centrality_a,curr_flow_bet_centrality_b,eigen_centrality_a,eigen_centrality_b,katz_centrality_a,katz_centrality_b,comm_bet_centrality_a,comm_bet_centrality_b,load_centrality_a,load_centrality_b,page_rank_a,page_rank_b,dispersion,comm,connectivity,edge_connectivity,avg_neighbor_degree_a,avg_neighbor_degree_b,in_deg_c_a,in_deg_c_b,out_deg_c_a,out_deg_c_b,edge_bet_cent,edge_curr_flow_bet_centrality,group_bet_cent,group_clo_cent,group_deg_cent,group_in_deg_cent,group_out_deg_cent,edge_load_cent,simrank_similarity,volume,depth_a,depth_b
2,23-25,0.05195346847176552,2,4,1,0.15151515151515152,0.15151515151515152,0.4342105263157895,0.42857142857142855,0.04738087039223403,0.0678481240981241,0.05491606184380765,0.05392060377206381,0.10739500513857422,0.12580876867843818,0.17310703110633946,0.1445336063321687,0.17851185743077294,0.1739151693778297,0.11201430950153524,0.1060889727894533,0.04881891835016835,0.06854482323232322,0.03226484408124515,0.03325941090913742,0.0,5.898325496128884,5,5,4.6,4.2,0.030303030303030307,0.030303030303030307,0.12121212121212123,0.12121212121212123,0.02606951871657754,0.028444091011765506,0.08419826141600334,0.4848484848484849,0.21875,0.03125,0.1875,73.58333333333334,0.1931427588782458,10,2,3
2,2-26,-0.2475767433643341,2,1,1,0.15151515151515152,0.21212121212121213,0.4459459459459459,0.4647887323943662,0.047845336481700126,0.08819895382395382,0.055869632397982455,0.06374552795708055,0.09567552746377364,0.14840583847102246,0.2276703135260901,0.2815362151982266,0.18734894066309826,0.2157987755960189,0.13958791443156038,0.2135894535110927,0.04708412247474748,0.08570601851851849,0.031614520872382944,0.04289095311848298,0.0,9.48574658794604,5,5,5.6,4.571428571428571,0.12121212121212123,0.030303030303030307,0.030303030303030307,0.18181818181818185,0.0017453951277480687,0.02117072449976739,0.11998375168738075,0.5245901639344263,0.28125,0.125,0.1875,62.75000000000001,0.17413556892027565,12,1,2
2,5-26,0.1086789295077324,2,1,1,0.15151515151515152,0.21212121212121213,0.44,0.4647887323943662,0.06084430615680616,0.08819895382395382,0.055156172209075593,0.06374552795708055,0.11179033356097316,0.14840583847102246,0.19262375908424725,0.2815362151982266,0.18175565629745588,0.2157987755960189,0.12771576165627513,0.2135894535110927,0.06144649621212123,0.08570601851851849,0.03226865964145216,0.04289095311848298,0.0,7.285796347992374,5,5,5.0,4.571428571428571,0.12121212121212123,0.030303030303030307,0.030303030303030307,0.18181818181818185,0.003119429590017825,0.029751137870970213,0.11062467997951868,0.5423728813559322,0.3125,0.125,0.1875,102.08333333333334,0.13960914710977215,12,2,2
2,8-26,-0.041328366845846176,2,1,1,0.15151515151515152,0.21212121212121213,0.4520547945205479,0.4647887323943662,0.04607540502426866,0.08819895382395382,0.05686222111306436,0.06374552795708055,0.09224848449387743,0.14840583847102246,0.23505452848063785,0.2815362151982266,0.19017625113248307,0.2157987755960189,0.15158532120898532,0.2135894535110927,0.04453782617845118,0.08570601851851849,0.031286665604777324,0.04289095311848298,0.0,8.487673874918512,5,5,6.0,4.571428571428571,0.12121212121212123,0.030303030303030307,0.030303030303030307,0.18181818181818185,0.0018939393939393933,0.024399283126103927,0.1123256615696132,0.5423728813559322,0.3125,0.125,0.1875,76.66666666666666,0.1390498620868593,12,1,2
2,12-26,0.009621826000511645,2,2,1,0.12121212121212123,0.21212121212121213,0.4125,0.4647887323943662,0.027802716012943283,0.08819895382395382,0.049907754015360406,0.06374552795708055,0.07790626481908981,0.14840583847102246,0.17099290564532474,0.2815362151982266,0.1659851097019937,0.2157987755960189,0.08094882604272656,0.2135894535110927,0.029245580808080807,0.08570601851851849,0.02624792995488794,0.04289095311848298,0.0,7.950436886208223,4,4,5.25,4.571428571428571,0.060606060606060615,0.030303030303030307,0.060606060606060615,0.18181818181818185,0.00445632798573975,0.02264994069845976,0.0957950763394312,0.4923076923076923,0.25,0.0625,0.1875,65.91666666666666,0.1846887533519309,11,2,2
2,20-26,0.09480354189872743,2,2,1,0.12121212121212123,0.21212121212121213,0.4024390243902439,0.4647887323943662,0.028427128427128433,0.08819895382395382,0.04946106080800917,0.06374552795708055,0.08233154458520205,0.14840583847102246,0.15578402016578236,0.2815362151982266,0.163578787295397,0.2157987755960189,0.07655449357856517,0.2135894535110927,0.027715961700336703,0.08570601851851849,0.0265860332960408,0.04289095311848298,0.0,7.047192365213653,4,4,5.0,4.571428571428571,0.060606060606060615,0.030303030303030307,0.060606060606060615,0.18181818181818185,0.0053475935828877,0.02568138081765313,0.09156266001024067,0.5079365079365079,0.28125,0.0625,0.21875,70.25,0.13899045970600427,11,3,2
2,24-26,0.12566691637039185,2,3,1,0.15151515151515152,0.21212121212121213,0.44,0.4647887323943662,0.0564258658008658,0.08819895382395382,0.055297016480040234,0.06374552795708055,0.11088155967234782,0.14840583847102246,0.19500835962009894,0.2815362151982266,0.18206225978449,0.2157987755960189,0.12807825118730398,0.2135894535110927,0.05743108164983165,0.08570601851851849,0.032174830143910295,0.04289095311848298,0.0,7.542595374887288,5,5,5.0,4.571428571428571,0.060606060606060615,0.030303030303030307,0.09090909090909093,0.18181818181818185,0.0053475935828877,0.029944227464219982,0.11001824116743476,0.5245901639344263,0.3125,0.0625,0.25,91.41666666666666,0.14816171091760974,12,2,2
2,8-27,-0.12973318994045258,2,1,1,0.15151515151515152,0.15151515151515152,0.4520547945205479,0.42857142857142855,0.04607540502426866,0.05309896858192312,0.05686222111306436,0.055360367789870524,0.09224848449387743,0.11620763763574292,0.23505452848063785,0.17646978607648842,0.19017625113248307,0.17654610325908546,0.15158532120898532,0.10652918574801723,0.04453782617845118,0.055746264730639726,0.031286665604777324,0.032449932838971234,0.0,6.272733937512161,5,5,6.0,4.2,0.12121212121212123,0.030303030303030307,0.030303030303030307,0.12121212121212123,0.0017453951277480687,0.025633398480988532,0.07803488514173999,0.5245901639344263,0.25,0.125,0.125,65.9861111111111,0.1372837474362641,10,1,2
2,10-27,0.2007097601890564,2,1,1,0.12121212121212123,0.15151515151515152,0.42857142857142855,0.42857142857142855,0.03949704020726748,0.05309896858192312,0.050729727009227,0.055360367789870524,0.08198631756778657,0.11620763763574292,0.16531419937213904,0.17646978607648842,0.16670445261435515,0.17654610325908546,0.092100495199963,0.10652918574801723,0.03878367003367004,0.055746264730639726,0.026458951788209485,0.032449932838971234,0.0,4.996225198496708,4,4,5.5,4.2,0.09090909090909093,0.030303030303030307,0.030303030303030307,0.12121212121212123,0.002191027926322044,0.028898128772708927,0.06501085160359353,0.5,0.21875,0.09375,0.125,82.2361111111111,0.12538999843758936,9,1,2
2,11-27,0.010989578440785408,2,1,1,0.12121212121212123,0.15151515151515152,0.3882352941176471,0.42857142857142855,0.033801557239057235,0.05309896858192312,0.04854276742518665,0.055360367789870524,0.0898525059528712,0.11620763763574292,0.12694002501785295,0.17646978607648842,0.15820292806355504,0.17654610325908546,0.06389940618446663,0.10652918574801723,0.03650305134680135,0.055746264730639726,0.027161147420154387,0.032449932838971234,0.0,4.228090551270856,4,4,4.25,4.2,0.09090909090909093,0.030303030303030307,0.030303030303030307,0.12121212121212123,0.0053475935828877,0.03363743925525919,0.05172971070148488,0.4705882352941176,0.21875,0.09375,0.125,93.5,0.12853744185910146,9,3,2
